Order ID,Product,Category,Sales,Profit,Date,Region,Year,Month,Profit Margin
ORD-1022,Laptop,Technology,131.51,4.79,2023-09-20,West,2023,2023-09,0.036
ORD-1023,Envelope,Office Supplies,54.9,11.84,2024-03-09,South,2024,2024-03,0.216
ORD-1024,Stapler,Office Supplies,42.68,4.38,2025-02-03,South,2025,2025-02,0.103
ORD-1025,Chair,Furniture,564.83,124.59,2023-02-13,Central,2023,2023-02,0.221
ORD-1026,Chair,Furniture,17.06,4.75,2023-05-19,West,2023,2023-05,0.278
ORD-1027,Bookcase,Furniture,63.01,19.22,2024-03-14,South,2024,2024-03,0.305
ORD-1028,Pen Set,Office Supplies,30.98,6.9,2025-08-26,West,2025,2025-08,0.223
ORD-1029,Printer,Technology,178.26,48.0,2025-04-21,South,2025,2025-04,0.269
ORD-1030,Paper,Office Supplies,22.38,2.68,2025-04-04,East,2025,2025-04,0.12
ORD-1031,Desk,Furniture,310.18,98.94,2023-10-15,South,2023,2023-10,0.319
ORD-1032,Table,Furniture,144.0,34.79,2023-04-14,East,2023,2023-04,0.242
ORD-1033,Desk,Furniture,527.39,106.04,2025-04-12,West,2025,2025-04,0.201
ORD-1034,Desk,Furniture,124.34,17.49,2023-01-05,South,2023,2023-01,0.141
ORD-1035,Printer,Technology,792.23,114.85,2025-09-23,South,2025,2025-09,0.145
ORD-1036,Envelope,Office Supplies,35.1,5.33,2024-10-04,East,2024,2024-10,0.152
ORD-1037,Binder,Office Supplies,28.1,4.08,2025-11-06,East,2025,2025-11,0.145
ORD-1038,Binder,Office Supplies,32.0,7.31,2023-09-03,South,2023,2023-09,0.228
ORD-1039,Sofa,Furniture,100.2,34.92,2025-05-08,East,2025,2025-05,0.349
ORD-1040,Monitor,Technology,52.82,9.34,2024-05-03,Central,2024,2024-05,0.177
ORD-1041,Printer,Technology,370.46,47.45,2023-01-20,East,2023,2023-01,0.128
ORD-1042,Sofa,Furniture,188.81,40.82,2025-11-02,West,2025,2025-11,0.216
ORD-1043,Bookcase,Furniture,278.12,49.82,2023-11-20,Central,2023,2023-11,0.179
ORD-1044,Envelope,Office Supplies,64.3,17.38,2024-09-05,East,2024,2024-09,0.27
ORD-1045,Laptop,Technology,176.21,60.98,2023-11-15,East,2023,2023-11,0.346
ORD-1046,Bookcase,Furniture,328.11,145.31,2024-05-29,South,2024,2024-05,0.443
ORD-1047,Printer,Technology,231.47,67.31,2023-01-08,East,2023,2023-01,0.291
ORD-1048,Table,Furniture,234.83,28.08,2023-01-20,South,2023,2023-01,0.12
ORD-1049,Sofa,Furniture,219.81,29.92,2025-01-26,East,2025,2025-01,0.136
ORD-1050,Printer,Technology,137.4,32.54,2025-01-02,East,2025,2025-01,0.237
ORD-1051,Pen Set,Office Supplies,49.05,7.88,2024-04-29,West,2024,2024-04,0.161
ORD-1052,Laptop,Technology,179.24,25.34,2024-11-11,West,2024,2024-11,0.141
ORD-1053,Binder,Office Supplies,28.71,7.08,2023-11-23,Central,2023,2023-11,0.247
ORD-1054,Monitor,Technology,405.58,136.62,2025-07-31,West,2025,2025-07,0.337
ORD-1055,Chair,Furniture,170.23,26.44,2025-03-27,West,2025,2025-03,0.155
ORD-1056,Printer,Technology,415.04,113.65,2024-11-09,South,2024,2024-11,0.274
ORD-1057,Sofa,Furniture,506.24,38.45,2023-03-20,Central,2023,2023-03,0.076
ORD-1058,Phone,Technology,412.28,91.35,2025-02-27,East,2025,2025-02,0.222
ORD-1059,Laptop,Technology,405.24,114.15,2025-01-15,West,2025,2025-01,0.282
ORD-1060,Stapler,Office Supplies,41.12,3.88,2024-09-07,East,2024,2024-09,0.094
ORD-1061,Stapler,Office Supplies,38.54,1.31,2024-01-28,West,2024,2024-01,0.034
ORD-1062,Sofa,Furniture,79.16,20.49,2025-04-11,Unknown,2025,2025-04,0.259
ORD-1063,Tablet,Technology,184.57,8.19,2025-08-10,Central,2025,2025-08,0.044
ORD-1064,Binder,Office Supplies,58.68,13.47,2024-08-04,East,2024,2024-08,0.23
ORD-1065,Bookcase,Furniture,107.34,21.2,2024-02-12,West,2024,2024-02,0.198
ORD-1066,Paper,Office Supplies,21.43,1.76,2025-04-28,South,2025,2025-04,0.082
ORD-1067,Phone,Technology,625.57,94.62,2024-05-14,South,2024,2024-05,0.151
ORD-1068,Table,Furniture,220.44,78.13,2023-12-27,West,2023,2023-12,0.354
ORD-1069,Binder,Office Supplies,16.46,2.89,2025-07-23,East,2025,2025-07,0.176
ORD-1070,Envelope,Office Supplies,19.47,4.63,2025-06-25,Central,2025,2025-06,0.238
ORD-1071,Pen Set,Office Supplies,32.67,8.78,2025-08-30,West,2025,2025-08,0.269
ORD-1072,Tablet,Technology,169.01,-0.3,2024-05-04,South,2024,2024-05,-0.002
ORD-1073,Printer,Technology,156.84,18.58,2023-06-15,Central,2023,2023-06,0.118
ORD-1074,Binder,Office Supplies,38.51,8.71,2025-04-29,East,2025,2025-04,0.226
ORD-1075,Table,Furniture,257.87,21.38,2023-02-10,South,2023,2023-02,0.083
ORD-1076,Bookcase,Furniture,227.87,9.76,2025-03-09,Central,2025,2025-03,0.043
ORD-1077,Envelope,Office Supplies,55.99,17.24,2025-09-26,West,2025,2025-09,0.308
ORD-1078,Phone,Technology,99.15,6.69,2025-08-15,West,2025,2025-08,0.067
ORD-1079,Tablet,Technology,428.28,90.31,2023-06-21,East,2023,2023-06,0.211
ORD-1080,Bookcase,Furniture,312.99,201.04,2024-11-01,South,2024,2024-11,0.642
ORD-1081,Printer,Technology,818.57,244.41,2024-05-31,South,2024,2024-05,0.299
ORD-1082,Bookcase,Furniture,171.49,46.49,2023-05-21,West,2023,2023-05,0.271
ORD-1083,Desk,Furniture,246.11,19.02,2023-11-09,East,2023,2023-11,0.077
ORD-1084,Table,Furniture,859.57,-37.88,2025-01-25,Central,2025,2025-01,-0.044
ORD-1085,Desk,Furniture,158.34,30.03,2023-08-10,Central,2023,2023-08,0.19
ORD-1086,Phone,Technology,235.73,73.24,2023-06-05,West,2023,2023-06,0.311
ORD-1087,Stapler,Office Supplies,79.03,15.44,2023-03-26,East,2023,2023-03,0.195
ORD-1088,Stapler,Office Supplies,23.36,4.81,2025-05-10,East,2025,2025-05,0.206
ORD-1089,Pen Set,Office Supplies,115.67,46.41,2025-06-10,West,2025,2025-06,0.401
ORD-1090,Envelope,Office Supplies,12.72,2.57,2025-08-10,South,2025,2025-08,0.202
ORD-1091,Chair,Furniture,154.52,-3.14,2025-07-12,Central,2025,2025-07,-0.02
ORD-1092,Printer,Technology,491.46,139.52,2025-10-09,East,2025,2025-10,0.284
ORD-1093,Printer,Technology,264.26,37.49,2024-07-19,Central,2024,2024-07,0.142
ORD-1094,Table,Furniture,652.83,149.24,2024-05-07,South,2024,2024-05,0.229
ORD-1095,Chair,Furniture,285.34,107.9,2024-03-29,Central,2024,2024-03,0.378
ORD-1096,Phone,Technology,84.81,10.34,2025-05-21,Central,2025,2025-05,0.122
ORD-1097,Printer,Technology,285.72,115.61,2024-05-29,Central,2024,2024-05,0.405
ORD-1098,Envelope,Office Supplies,19.95,7.5,2024-01-28,West,2024,2024-01,0.376
ORD-1099,Envelope,Office Supplies,16.27,2.68,2023-07-25,Central,2023,2023-07,0.165
ORD-1100,Laptop,Technology,236.98,75.73,2024-07-15,West,2024,2024-07,0.32
ORD-1101,Table,Furniture,219.99,34.25,2023-01-26,East,2023,2023-01,0.156
ORD-1102,Chair,Furniture,228.32,44.21,2025-09-05,Central,2025,2025-09,0.194
ORD-1103,Paper,Office Supplies,50.14,5.32,2023-11-02,West,2023,2023-11,0.106
ORD-1104,Chair,Furniture,778.53,125.96,2024-04-07,South,2024,2024-04,0.162
ORD-1105,Tablet,Technology,519.48,63.18,2024-09-17,South,2024,2024-09,0.122
ORD-1106,Desk,Furniture,253.66,27.72,2024-06-25,West,2024,2024-06,0.109
ORD-1107,Desk,Furniture,387.71,114.08,2025-04-16,East,2025,2025-04,0.294
ORD-1108,Bookcase,Furniture,551.64,153.1,2025-07-18,Central,2025,2025-07,0.278
ORD-1109,Envelope,Office Supplies,49.28,12.13,2025-05-20,West,2025,2025-05,0.246
ORD-1110,Monitor,Technology,191.54,34.0,2023-05-03,East,2023,2023-05,0.178
ORD-1111,Stapler,Office Supplies,37.34,3.72,2023-09-12,South,2023,2023-09,0.1
ORD-1112,Tablet,Technology,742.35,114.23,2025-06-15,South,2025,2025-06,0.154
ORD-1113,Tablet,Technology,715.14,93.72,2023-02-22,Central,2023,2023-02,0.131
ORD-1114,Envelope,Office Supplies,40.42,13.61,2024-07-05,East,2024,2024-07,0.337
ORD-1115,Pen Set,Office Supplies,35.41,5.36,2024-01-07,Central,2024,2024-01,0.151
ORD-1116,Table,Furniture,388.76,85.1,2025-04-16,Central,2025,2025-04,0.219
ORD-1117,Phone,Technology,310.85,127.29,2024-08-13,South,2024,2024-08,0.409
ORD-1118,Table,Furniture,441.85,26.19,2024-10-06,East,2024,2024-10,0.059
ORD-1119,Paper,Office Supplies,18.09,4.93,2025-04-26,South,2025,2025-04,0.273
ORD-1120,Phone,Technology,546.93,97.64,2024-02-21,East,2024,2024-02,0.179
ORD-1121,Pen Set,Office Supplies,21.34,-1.51,2023-03-01,East,2023,2023-03,-0.071
ORD-1122,Bookcase,Furniture,654.54,52.98,2025-04-15,East,2025,2025-04,0.081
ORD-1123,Laptop,Technology,267.05,67.74,2025-10-17,West,2025,2025-10,0.254
ORD-1124,Phone,Technology,831.23,174.06,2024-05-14,South,2024,2024-05,0.209
ORD-1125,Envelope,Office Supplies,26.41,6.53,2023-05-23,West,2023,2023-05,0.247
ORD-1126,Stapler,Office Supplies,55.99,0.35,2024-08-02,East,2024,2024-08,0.006
ORD-1127,Pen Set,Office Supplies,16.45,1.65,2025-07-03,West,2025,2025-07,0.1
ORD-1128,Pen Set,Office Supplies,71.67,15.57,2024-10-21,South,2024,2024-10,0.217
ORD-1129,Monitor,Technology,887.81,127.6,2023-03-31,South,2023,2023-03,0.144
ORD-1130,Phone,Technology,342.16,74.84,2025-10-11,West,2025,2025-10,0.219
ORD-1131,Laptop,Technology,172.12,41.16,2023-07-24,South,2023,2023-07,0.239
ORD-1132,Monitor,Technology,366.81,96.4,2025-08-19,East,2025,2025-08,0.263
ORD-1133,Laptop,Technology,250.1,47.11,2025-12-28,Central,2025,2025-12,0.188
ORD-1134,Tablet,Technology,667.22,127.92,2023-05-21,East,2023,2023-05,0.192
ORD-1135,Chair,Furniture,116.83,52.93,2023-07-21,South,2023,2023-07,0.453
ORD-1136,Bookcase,Furniture,291.0,127.57,2023-04-05,East,2023,2023-04,0.438
ORD-1137,Monitor,Technology,181.87,30.32,2025-12-23,West,2025,2025-12,0.167
ORD-1138,Chair,Furniture,418.94,33.19,2024-05-08,South,2024,2024-05,0.079
ORD-1139,Stapler,Office Supplies,25.1,7.63,2024-06-06,South,2024,2024-06,0.304
ORD-1140,Tablet,Technology,60.37,13.34,2023-06-01,West,2023,2023-06,0.221
ORD-1141,Pen Set,Office Supplies,91.77,22.81,2025-07-24,Central,2025,2025-07,0.249
ORD-1142,Laptop,Technology,661.96,14.28,2025-02-20,West,2025,2025-02,0.022
ORD-1143,Laptop,Technology,333.305,184.02,2024-07-16,South,2024,2024-07,0.552
ORD-1144,Sofa,Furniture,176.03,-4.5,2024-08-09,South,2024,2024-08,-0.026
ORD-1145,Desk,Furniture,522.09,111.24,2023-10-08,Central,2023,2023-10,0.213
ORD-1146,Phone,Technology,420.6,-4.77,2025-01-17,East,2025,2025-01,-0.011
ORD-1147,Pen Set,Office Supplies,25.1,5.3,2024-02-16,West,2024,2024-02,0.211
ORD-1148,Envelope,Office Supplies,41.32,7.46,2023-12-03,Central,2023,2023-12,0.181
ORD-1149,Printer,Technology,355.61,50.65,2025-08-17,East,2025,2025-08,0.142
ORD-1150,Pen Set,Office Supplies,15.06,2.93,2023-07-04,Unknown,2023,2023-07,0.195
ORD-1151,Printer,Technology,494.59,151.96,2025-02-19,Central,2025,2025-02,0.307
ORD-1152,Table,Furniture,579.2,127.35,2024-11-02,East,2024,2024-11,0.22
ORD-1153,Printer,Technology,185.02,35.85,2023-08-27,South,2023,2023-08,0.194
ORD-1154,Laptop,Technology,925.71,395.55,2024-04-25,East,2024,2024-04,0.427
ORD-1155,Envelope,Office Supplies,86.73,4.99,2023-11-13,South,2023,2023-11,0.058
ORD-1156,Pen Set,Office Supplies,30.14,7.76,2023-03-09,Central,2023,2023-03,0.257
ORD-1157,Bookcase,Furniture,526.44,67.36,2025-01-22,East,2025,2025-01,0.128
ORD-1158,Printer,Technology,262.53,80.6,2023-09-08,West,2023,2023-09,0.307
ORD-1159,Sofa,Furniture,43.89,12.57,2023-04-14,East,2023,2023-04,0.286
ORD-1160,Binder,Office Supplies,32.44,11.69,2024-02-29,East,2024,2024-02,0.36
ORD-1161,Sofa,Furniture,230.52,68.65,2024-07-21,East,2024,2024-07,0.298
ORD-1162,Monitor,Technology,436.22,-10.65,2023-02-22,East,2023,2023-02,-0.024
ORD-1163,Stapler,Office Supplies,33.94,6.08,2023-12-23,East,2023,2023-12,0.179
ORD-1164,Chair,Furniture,290.39,6.81,2025-07-07,South,2025,2025-07,0.023
ORD-1165,Binder,Office Supplies,50.34,2.41,2025-12-03,East,2025,2025-12,0.048
ORD-1166,Phone,Technology,485.77,83.78,2023-08-10,South,2023,2023-08,0.172
ORD-1167,Bookcase,Furniture,413.61,52.28,2023-05-15,West,2023,2023-05,0.126
ORD-1168,Stapler,Office Supplies,26.87,3.13,2025-12-22,South,2025,2025-12,0.116
ORD-1169,Paper,Office Supplies,22.57,0.18,2025-05-30,West,2025,2025-05,0.008
ORD-1170,Phone,Technology,296.29,123.19,2023-07-14,South,2023,2023-07,0.416
ORD-1171,Table,Furniture,224.08,54.17,2023-07-06,East,2023,2023-07,0.242
ORD-1172,Stapler,Office Supplies,66.34,11.05,2023-05-03,West,2023,2023-05,0.167
ORD-1173,Table,Furniture,184.67,16.92,2025-05-16,Central,2025,2025-05,0.092
ORD-1174,Stapler,Office Supplies,47.98,7.05,2023-08-01,Central,2023,2023-08,0.147
ORD-1175,Chair,Furniture,23.91,2.51,2025-01-22,Central,2025,2025-01,0.105
ORD-1176,Tablet,Technology,37.25,9.28,2024-07-01,East,2024,2024-07,0.249
ORD-1177,Printer,Technology,430.33,27.25,2024-01-07,East,2024,2024-01,0.063
ORD-1178,Chair,Furniture,231.42,-2.96,2025-12-22,East,2025,2025-12,-0.013
ORD-1179,Printer,Technology,398.68,62.82,2023-06-23,Central,2023,2023-06,0.158
ORD-1180,Chair,Furniture,210.72,21.58,2025-06-26,Central,2025,2025-06,0.102
ORD-1181,Monitor,Technology,134.8,27.79,2024-12-07,East,2024,2024-12,0.206
ORD-1182,Tablet,Technology,638.05,114.24,2023-04-04,Central,2023,2023-04,0.179
ORD-1183,Bookcase,Furniture,560.04,260.37,2023-10-09,West,2023,2023-10,0.465
ORD-1184,Phone,Technology,679.89,37.75,2023-09-22,West,2023,2023-09,0.056
ORD-1185,Stapler,Office Supplies,31.49,10.94,2025-03-24,East,2025,2025-03,0.347
ORD-1186,Bookcase,Furniture,70.4,0.86,2025-04-08,South,2025,2025-04,0.012
ORD-1187,Bookcase,Furniture,323.03,40.39,2025-07-31,West,2025,2025-07,0.125
ORD-1188,Desk,Furniture,132.76,14.46,2025-03-31,South,2025,2025-03,0.109
ORD-1189,Monitor,Technology,166.32,-20.01,2023-12-11,Central,2023,2023-12,-0.12
ORD-1190,Bookcase,Furniture,349.5,52.89,2023-10-30,Central,2023,2023-10,0.151
ORD-1191,Binder,Office Supplies,21.22,4.42,2023-12-29,East,2023,2023-12,0.208
ORD-1192,Envelope,Office Supplies,40.68,9.77,2024-10-23,South,2024,2024-10,0.24
ORD-1193,Table,Furniture,97.05,41.27,2024-09-12,South,2024,2024-09,0.425
ORD-1194,Bookcase,Furniture,604.23,60.72,2025-07-14,South,2025,2025-07,0.1
ORD-1195,Paper,Office Supplies,47.76,10.2,2025-08-05,South,2025,2025-08,0.214
ORD-1196,Table,Furniture,15.2,3.21,2024-10-20,West,2024,2024-10,0.211
ORD-1197,Laptop,Technology,160.12,6.93,2023-06-22,Central,2023,2023-06,0.043
ORD-1198,Phone,Technology,417.35,42.48,2025-01-15,West,2025,2025-01,0.102
ORD-1199,Tablet,Technology,355.72,38.33,2024-11-16,East,2024,2024-11,0.108
ORD-1200,Printer,Technology,580.68,141.44,2024-11-13,West,2024,2024-11,0.244
ORD-1201,Phone,Technology,871.27,-28.25,2023-06-23,West,2023,2023-06,-0.032
ORD-1202,Sofa,Furniture,92.17,20.7,2025-05-17,East,2025,2025-05,0.225
ORD-1203,Bookcase,Furniture,135.28,32.27,2024-01-29,South,2024,2024-01,0.239
ORD-1204,Sofa,Furniture,591.51,130.44,2024-11-20,East,2024,2024-11,0.221
ORD-1205,Desk,Furniture,158.68,22.5,2023-12-06,West,2023,2023-12,0.142
ORD-1206,Binder,Office Supplies,29.32,6.3,2024-08-06,South,2024,2024-08,0.215
ORD-1207,Bookcase,Furniture,764.78,112.86,2024-02-02,South,2024,2024-02,0.148
ORD-1208,Printer,Technology,652.75,-42.15,2025-10-26,South,2025,2025-10,-0.065
ORD-1209,Binder,Office Supplies,20.12,6.16,2023-04-17,Central,2023,2023-04,0.306
ORD-1210,Sofa,Furniture,109.7,24.05,2024-08-06,East,2024,2024-08,0.219
ORD-1211,Binder,Office Supplies,30.99,8.9,2023-07-07,South,2023,2023-07,0.287
ORD-1212,Laptop,Technology,368.64,0.95,2023-04-20,South,2023,2023-04,0.003
ORD-1213,Bookcase,Furniture,462.78,111.59,2023-02-27,West,2023,2023-02,0.241
ORD-1214,Monitor,Technology,780.25,157.47,2023-03-20,West,2023,2023-03,0.202
ORD-1215,Table,Furniture,261.01,12.8,2023-01-11,South,2023,2023-01,0.049
ORD-1216,Sofa,Furniture,112.35,21.19,2023-08-16,South,2023,2023-08,0.189
ORD-1217,Table,Furniture,150.37,20.8,2023-05-09,South,2023,2023-05,0.138
ORD-1218,Sofa,Furniture,382.82,56.51,2023-10-22,Unknown,2023,2023-10,0.148
ORD-1219,Pen Set,Office Supplies,20.43,2.63,2023-06-25,West,2023,2023-06,0.129
ORD-1220,Envelope,Office Supplies,25.75,7.32,2025-03-10,East,2025,2025-03,0.284
ORD-1221,Printer,Technology,830.17,-13.17,2025-01-01,East,2025,2025-01,-0.016
ORD-1222,Paper,Office Supplies,40.85,-1.37,2023-10-01,Central,2023,2023-10,-0.034
ORD-1223,Table,Furniture,565.02,113.94,2024-01-09,South,2024,2024-01,0.202
ORD-1224,Laptop,Technology,1597.8,308.58,2024-02-17,Central,2024,2024-02,0.193
ORD-1225,Tablet,Technology,568.03,117.03,2025-08-27,South,2025,2025-08,0.206
ORD-1226,Laptop,Technology,471.01,191.16,2024-07-13,Central,2024,2024-07,0.406
ORD-1227,Pen Set,Office Supplies,71.15,14.38,2024-11-25,South,2024,2024-11,0.202
ORD-1228,Stapler,Office Supplies,36.99,2.27,2025-05-19,East,2025,2025-05,0.061
ORD-1229,Stapler,Office Supplies,32.64,15.82,2023-07-30,Central,2023,2023-07,0.485
ORD-1230,Pen Set,Office Supplies,46.58,7.5,2025-06-28,West,2025,2025-06,0.161
ORD-1231,Tablet,Technology,244.82,69.11,2024-07-16,South,2024,2024-07,0.282
ORD-1232,Pen Set,Office Supplies,17.42,0.43,2025-11-16,Central,2025,2025-11,0.025
ORD-1233,Sofa,Furniture,57.75,8.59,2023-03-13,South,2023,2023-03,0.149
ORD-1234,Phone,Technology,283.82,41.8,2023-11-11,East,2023,2023-11,0.147
ORD-1235,Sofa,Furniture,376.98,60.74,2025-12-20,West,2025,2025-12,0.161
ORD-1236,Chair,Furniture,681.82,214.9,2025-10-19,West,2025,2025-10,0.315
ORD-1237,Phone,Technology,143.64,34.76,2024-08-07,West,2024,2024-08,0.242
ORD-1238,Chair,Furniture,177.88,8.4,2023-12-20,South,2023,2023-12,0.047
ORD-1239,Stapler,Office Supplies,35.01,6.97,2023-05-13,Central,2023,2023-05,0.199
ORD-1240,Desk,Furniture,220.59,39.07,2025-11-07,Central,2025,2025-11,0.177
ORD-1241,Table,Furniture,200.34,39.79,2025-01-09,East,2025,2025-01,0.199
ORD-1242,Binder,Office Supplies,34.37,3.95,2023-05-15,East,2023,2023-05,0.115
ORD-1243,Pen Set,Office Supplies,72.68,-10.11,2023-06-01,South,2023,2023-06,-0.139
ORD-1244,Tablet,Technology,779.69,-53.65,2023-09-20,Central,2023,2023-09,-0.069
ORD-1245,Desk,Furniture,268.69,40.15,2025-10-26,South,2025,2025-10,0.149
ORD-1246,Bookcase,Furniture,63.74,5.52,2023-11-28,West,2023,2023-11,0.087
ORD-1247,Stapler,Office Supplies,28.63,4.91,2024-05-28,East,2024,2024-05,0.171
ORD-1248,Stapler,Office Supplies,57.85,19.24,2025-10-26,East,2025,2025-10,0.333
ORD-1249,Sofa,Furniture,124.07,11.49,2023-03-26,Central,2023,2023-03,0.093
ORD-1250,Envelope,Office Supplies,26.16,6.25,2024-03-07,Central,2024,2024-03,0.239
ORD-1251,Tablet,Technology,260.74,39.76,2024-09-10,Central,2024,2024-09,0.152
ORD-1252,Phone,Technology,562.66,131.28,2023-05-03,East,2023,2023-05,0.233
ORD-1253,Tablet,Technology,974.75,57.66,2024-10-02,West,2024,2024-10,0.059
ORD-1254,Phone,Technology,521.12,74.44,2025-01-28,West,2025,2025-01,0.143
ORD-1255,Bookcase,Furniture,48.35,18.94,2024-05-22,South,2024,2024-05,0.392
ORD-1256,Pen Set,Office Supplies,26.18,8.01,2023-11-24,West,2023,2023-11,0.306
ORD-1257,Desk,Furniture,510.97,-15.52,2025-11-20,South,2025,2025-11,-0.03
ORD-1258,Table,Furniture,72.49,28.31,2024-05-08,South,2024,2024-05,0.391
ORD-1259,Tablet,Technology,221.5,65.7,2024-08-08,South,2024,2024-08,0.297
ORD-1260,Printer,Technology,335.4,45.74,2025-01-19,South,2025,2025-01,0.136
ORD-1261,Tablet,Technology,328.85,144.24,2023-05-31,Central,2023,2023-05,0.439
ORD-1262,Envelope,Office Supplies,50.41,10.11,2023-09-21,East,2023,2023-09,0.201
ORD-1263,Tablet,Technology,298.05,7.57,2023-10-23,Central,2023,2023-10,0.025
ORD-1264,Chair,Furniture,235.03,47.83,2024-11-13,West,2024,2024-11,0.204
ORD-1265,Binder,Office Supplies,20.44,8.6,2024-10-14,Central,2024,2024-10,0.421
ORD-1266,Tablet,Technology,565.06,119.07,2025-11-04,Central,2025,2025-11,0.211
ORD-1267,Phone,Technology,666.89,39.71,2025-01-24,East,2025,2025-01,0.06
ORD-1268,Laptop,Technology,493.21,-20.17,2024-06-27,South,2024,2024-06,-0.041
ORD-1269,Binder,Office Supplies,17.51,2.42,2025-09-10,East,2025,2025-09,0.138
ORD-1270,Monitor,Technology,397.27,42.36,2023-03-06,West,2023,2023-03,0.107
ORD-1271,Printer,Technology,96.08,32.76,2023-11-07,South,2023,2023-11,0.341
ORD-1272,Pen Set,Office Supplies,21.49,1.42,2023-10-10,East,2023,2023-10,0.066
ORD-1273,Tablet,Technology,1589.64,304.32,2024-10-04,South,2024,2024-10,0.191
ORD-1274,Stapler,Office Supplies,38.63,4.28,2025-09-18,Central,2025,2025-09,0.111
ORD-1275,Bookcase,Furniture,238.65,-5.43,2024-02-29,Central,2024,2024-02,-0.023
ORD-1276,Stapler,Office Supplies,59.4,10.44,2023-09-07,Central,2023,2023-09,0.176
ORD-1277,Printer,Technology,1041.46,-7.24,2024-08-17,West,2024,2024-08,-0.007
ORD-1278,Printer,Technology,250.27,64.04,2024-03-14,South,2024,2024-03,0.256
ORD-1279,Stapler,Office Supplies,58.96,-1.86,2023-08-12,West,2023,2023-08,-0.032
ORD-1280,Envelope,Office Supplies,64.35,11.01,2024-04-21,West,2024,2024-04,0.171
ORD-1281,Desk,Furniture,335.4,103.22,2023-11-20,East,2023,2023-11,0.308
ORD-1282,Monitor,Technology,375.18,92.74,2024-10-19,Central,2024,2024-10,0.247
ORD-1283,Envelope,Office Supplies,62.31,7.82,2025-12-31,West,2025,2025-12,0.126
ORD-1284,Table,Furniture,338.08,78.28,2023-03-16,West,2023,2023-03,0.232
ORD-1285,Stapler,Office Supplies,39.24,10.92,2023-01-19,East,2023,2023-01,0.278
ORD-1286,Printer,Technology,379.1,19.06,2025-12-09,South,2025,2025-12,0.05
ORD-1287,Printer,Technology,695.9,219.55,2023-08-19,West,2023,2023-08,0.315
ORD-1288,Binder,Office Supplies,33.47,9.79,2024-11-21,East,2024,2024-11,0.293
ORD-1289,Sofa,Furniture,145.66,1.66,2025-05-25,South,2025,2025-05,0.011
ORD-1290,Desk,Furniture,310.1,64.08,2024-10-24,Unknown,2024,2024-10,0.207
ORD-1291,Printer,Technology,234.37,34.85,2024-09-10,Central,2024,2024-09,0.149
ORD-1292,Monitor,Technology,379.42,134.18,2023-08-31,East,2023,2023-08,0.354
ORD-1293,Stapler,Office Supplies,39.0,11.08,2024-08-27,East,2024,2024-08,0.284
ORD-1294,Monitor,Technology,421.88,80.1,2025-02-04,South,2025,2025-02,0.19
ORD-1295,Binder,Office Supplies,61.83,20.2,2023-06-17,West,2023,2023-06,0.327
ORD-1296,Paper,Office Supplies,23.96,10.92,2025-11-01,East,2025,2025-11,0.456
ORD-1297,Pen Set,Office Supplies,28.61,-0.62,2024-02-25,East,2024,2024-02,-0.022
ORD-1298,Laptop,Technology,64.24,8.32,2023-09-28,South,2023,2023-09,0.13
ORD-1299,Printer,Technology,275.74,16.34,2025-03-21,Unknown,2025,2025-03,0.059
